 Total Nb of available Diagnostics: ndiagt=   194
------------------------------------------------------------------------------------
  Num  |<-Name->|Levs|  mate |<- code ->|<--  Units   -->|<- Tile (max=80c)         
   186 |ADVrE_Vm| 15 |       |WV      LR|m^4/s^2         |Vertical   Advective Flux of V momentum (Explicit part)
   187 |VISCx_Um| 15 |   188 |UM      MR|m^4/s^2         |Zonal      Viscous Flux of U momentum
   188 |VISCy_Um| 15 |   187 |VZ      MR|m^4/s^2         |Meridional Viscous Flux of U momentum
   189 |VISrE_Um| 15 |       |WU      LR|m^4/s^2         |Vertical   Viscous Flux of U momentum (Explicit part)
   190 |VISrI_Um| 15 |       |WU      LR|m^4/s^2         |Vertical   Viscous Flux of U momentum (Implicit part)
   191 |VISCx_Vm| 15 |   192 |UZ      MR|m^4/s^2         |Zonal      Viscous Flux of V momentum
   192 |VISCy_Vm| 15 |   191 |VM      MR|m^4/s^2         |Meridional Viscous Flux of V momentum
   193 |VISrE_Vm| 15 |       |WV      LR|m^4/s^2         |Vertical   Viscous Flux of V momentum (Explicit part)
   194 |VISrI_Vm| 15 |       |WV      LR|m^4/s^2         |Vertical   Viscous Flux of V momentum (Implicit part)
------------------------------------------------------------------------------------
  Num  |<-Name->|Levs|  mate |<- code ->|<--  Units   -->|<- Tile (max=80c)         
------------------------------------------------------------------------------------
